,ID,DEPT,GR,RD,DTP,DEN,PE,WQFM,WCARB,WCLAY,WPYR
0,0,2100,164.5753,6.4197,256.2831,2694.9187,4.4242,0.4391,0.0222,0.5287,0.0099
1,1,2100.2,165.0698,6.3616,258.3273,2697.0652,4.3828,0.4407,0.0282,0.5305,0.0006
2,2,2100.4,164.5566,6.2871,258.6958,2709.8433,4.3153,0.4337,0.0346,0.5317,0
3,3,2100.6,167.159,6.1073,263.7644,2718.4329,4.2861,0.4075,0.014,0.5715,0.007
4,4,2100.8,172.8834,5.9468,262.8661,2700.8784,4.3772,0.3178,0.0035,0.6527,0.0259
5,5,2101,175.0396,5.8893,263.0054,2685.885,4.4457,0.3165,0,0.6669,0.0166
6,6,2101.2,170.1486,5.8228,261.4973,2681.8511,4.452,0.3571,0,0.6429,0
7,7,2101.4,165.6037,5.857,260.6795,2675.9526,4.4725,0.3773,0,0.6199,0.0028
8,8,2101.6,168.8675,5.9003,262.6413,2674.7654,4.4859,0.3006,0,0.6789,0.0205
9,9,2101.8,172.5569,5.9095,262.7909,2680.4756,4.4652,0.3026,0,0.6736,0.0238
10,10,2102,171.7368,5.9102,263.4875,2684.8657,4.4356,0.2989,0,0.6788,0.0222
11,11,2102.2,168.0045,5.86,264.0452,2683.4575,4.4321,0.2861,0,0.7025,0.0115
12,12,2102.4,163.4769,5.7953,264.0141,2685.8562,4.4243,0.2843,0.0046,0.7099,0.0012
13,13,2102.6,161.9655,5.7974,263.8365,2692.1006,4.3911,0.2933,0.0174,0.6893,0
14,14,2102.8,164.951,5.5707,266.4796,2695.4016,4.3564,0.2967,0.0018,0.7015,0
15,15,2103,170.2276,5.4173,268.9033,2693.3096,4.3744,0.2984,0,0.6896,0.0105
16,16,2103.2,173.3364,5.3588,273.3627,2693.8147,4.4173,0.3027,0,0.6875,0.0068
17,17,2103.4,168.8451,5.2444,275.5582,2687.3137,4.5022,0.3227,0,0.6755,0.0004
18,18,2103.6,161.4684,5.1825,277.2308,2681.9248,4.5675,0.3325,0,0.6644,0
19,19,2103.8,162.4074,5.11,276.6481,2683.5652,4.5887,0.3256,0,0.6724,0
20,20,2104,167.1367,4.9492,276.9623,2688.0071,4.5852,0.3461,0.0164,0.6375,0
21,21,2104.2,168.1076,4.8151,278.5851,2692.5193,4.5566,0.3615,0.0079,0.629,0.0016
22,22,2104.4,166.6354,4.8529,276.3071,2695.7661,4.5071,0.337,0,0.6422,0.0208
23,23,2104.6,167.7535,4.9141,273.1682,2696.2739,4.459,0.3564,0,0.6267,0.0169
24,24,2104.8,171.1308,4.8706,272.4578,2696.7317,4.4268,0.3211,0,0.6789,0
25,25,2105,173.6779,4.7031,272.4457,2691.0164,4.4894,0.3212,0.0103,0.6684,0
26,26,2105.2,173.8012,4.9319,272.9368,2679.6787,4.6143,0.3518,0.0429,0.6053,0
27,27,2105.4,172.6447,5.1243,277.0918,2675.7646,4.7013,0.339,0.0557,0.6052,0
28,28,2105.6,168.0046,5.1339,279.2345,2678.3286,4.7601,0.3029,0.0158,0.6813,0
29,29,2105.8,165.5933,5.2073,282.7016,2685.3967,4.7879,0.3272,0.0032,0.6696,0
30,30,2106,165.7111,4.9683,283.4474,2691.3674,4.7496,0.3179,0.0301,0.652,0
31,31,2106.2,165.2341,4.7762,283.5681,2690.8108,4.6569,0.304,0.0525,0.6435,0
32,32,2106.4,165.3441,4.7717,279.1738,2692.2073,4.5771,0.3178,0.0378,0.6444,0
33,33,2106.6,166.1824,4.7162,274.37,2696.5254,4.5482,0.3492,0.0033,0.6475,0
34,34,2106.8,166.7933,4.663,271.7056,2697.7593,4.5555,0.4116,0,0.5884,0
35,35,2107,169.821,4.7779,268.9167,2691.6211,4.597,0.4671,0,0.5329,0
36,36,2107.2,167.7237,4.9189,267.6606,2681.7593,4.6601,0.455,0.0252,0.5198,0
37,37,2107.4,165.8255,5.0198,270.4279,2684.0454,4.6599,0.422,0.0684,0.5096,0
38,38,2107.6,166.6943,5.2335,275.6388,2696.4673,4.5854,0.3835,0.1029,0.5125,0.001
39,39,2107.8,169.1157,5.4053,280.1556,2705.3462,4.5128,0.3418,0.1011,0.5545,0.0026
40,40,2108,167.7419,5.773,283.2303,2700.2361,4.5069,0.3335,0.0534,0.6131,0
41,41,2108.2,169.1031,5.3936,282.8486,2683.7478,4.5443,0.3579,0.0395,0.6027,0
42,42,2108.4,170.6741,4.4901,279.9556,2672.8826,4.5652,0.4093,0.0495,0.5397,0.0015
43,43,2108.6,172.6319,4.2435,277.3105,2671.0198,4.6026,0.4142,0.0366,0.539,0.0103
44,44,2108.8,170.9517,4.4187,274.3785,2684.7668,4.6244,0.3958,0.006,0.594,0.0042
45,45,2109,172.4707,4.5475,274.5719,2699.4221,4.6171,0.3357,0.015,0.6292,0.0201
46,46,2109.2,169.4726,4.8342,276.9202,2695.7974,4.6398,0.3005,0.0168,0.6337,0.0491
47,47,2109.4,161.2971,5.1139,276.23,2687.6086,4.6285,0.3296,0.0014,0.6393,0.0297
48,48,2109.6,157.838,5.0985,277.6125,2684.9573,4.5853,0.3635,0.0129,0.6225,0.001
49,49,2109.8,163.3362,4.99,278.9151,2688.4792,4.5439,0.2774,0.0513,0.6713,0
50,50,2110,165.5651,4.8716,279.9633,2694.4827,4.524,0.3041,0.0589,0.6321,0.0049
51,51,2110.2,165.722,4.6659,280.8775,2698.1228,4.5149,0.322,0.039,0.6378,0.0012
